# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ahl2_badlogistics
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
item_ammo_pistol_ttt	951.016785 936.211182 0.420996	-0.068 -0.020 -0.020
item_ammo_pistol_ttt	964.162170 949.105103 0.370755	-0.112 -0.020 -0.034
item_ammo_pistol_ttt	974.026489 951.740601 0.356478	-0.124 -0.019 -0.037
item_ammo_pistol_ttt	646.361755 720.696350 0.463692	0.205 -0.417 0.162
item_ammo_pistol_ttt	656.818237 708.887024 3.246961	89.953 143.435 180.000
item_ammo_pistol_ttt	659.068909 678.259033 0.391975	-0.093 -0.020 -0.028
item_ammo_pistol_ttt	647.613342 672.989441 0.416155	-0.072 -0.020 -0.022
weapon_zm_molotov	-357.826324 -802.204956 262.119690	-1.105 -1.421 -1.680
weapon_zm_molotov	558.362366 1346.505859 326.172028	-1.432 -1.346 -1.632
weapon_zm_molotov	935.298035 -332.647644 0.175392	-1.164 -1.521 -1.184
weapon_zm_molotov	-1010.123291 1123.198364 144.103653	-1.352 -1.195 -0.788
weapon_ttt_confgrenade	-356.397552 -825.812500 295.436615	9.891 -45.085 -113.673
weapon_ttt_confgrenade	610.031799 1332.864258 358.000305	13.958 -79.540 -88.103
weapon_ttt_confgrenade	483.370453 891.983948 290.059418	-36.856 -53.509 -89.579
weapon_ttt_confgrenade	-533.621460 -210.752167 74.015152	-36.445 -50.728 -88.618
item_ammo_revolver_ttt	-231.252853 -750.802307 128.365295	0.457 0.058 0.042
item_ammo_revolver_ttt	-214.489105 -768.658691 133.648651	-43.499 160.391 180.000
item_ammo_revolver_ttt	-214.846741 -753.913879 132.487228	0.584 -0.016 -0.003
item_ammo_revolver_ttt	-873.291260 1336.696533 0.351820	0.454 0.060 0.047
item_ammo_revolver_ttt	-888.432068 1326.210571 0.373026	0.838 0.126 0.007
weapon_zm_shotgun	-713.387390 921.942383 257.057495	-0.270 -8.463 -83.764
weapon_zm_shotgun	-346.668945 -837.637878 293.193237	-0.715 -15.943 -85.655
weapon_zm_shotgun	-380.404236 1556.378052 1.109810	-0.376 -8.458 -84.257
weapon_zm_shotgun	583.327209 760.367004 217.093552	-0.343 -8.952 -84.104
weapon_zm_shotgun	1205.524414 486.291504 1.159948	-0.425 -9.070 -85.078
weapon_zm_sledge	32.747768 698.101807 194.137268	4.166 -0.139 2.422
weapon_zm_sledge	576.991577 1323.152710 407.750793	12.168 0.417 2.702
weapon_zm_revolver	-232.408081 -771.158752 128.933380	2.290 -16.763 -84.967
weapon_zm_revolver	-895.755798 1343.671143 0.970641	2.020 -18.723 -85.761
weapon_ttt_glock	-390.858978 -449.606201 1.110936	-0.712 25.846 91.352
weapon_ttt_glock	-0.351308 -517.823608 355.112030	-0.761 25.609 91.483
weapon_ttt_glock	771.529663 84.682472 1.110558	-0.688 25.846 91.305
weapon_ttt_glock	620.097961 720.311768 1.111468	-0.745 25.838 91.419
weapon_zm_pistol	980.278748 1033.244385 354.811615	0.760 -34.135 -89.182
